Model_Name,Model_accuray,Model_r2_score,Model_mse,Model_rmse,Model_mape
LinearRigression,96.92,0.7614354622579336,0.2027060864364543,0.450228926698912,0.03079225993276608
Ridge,96.92,0.7614312715003696,0.20270964728448745,0.45023288116761023,0.03081061619234599
Lasso,93.2,0.2872187299089397,0.6056436682202113,0.778231114913951,0.06798140978486522
SVR,95.71,0.365960687368997,0.5387373535342819,0.7339872979379697,0.0429273088722018
DecisionTreeRegressor,99.95,0.9946011577938457,0.004587346406366195,0.06772995206233498,0.00048622570696935124
RandomForestRegressor,99.15,0.9691138515427432,0.026243675351426236,0.16199899799513032,0.008492164570447042
AdaBoostRegressor,95.45,0.7075151583949917,0.24852167109530565,0.4985194791533282,0.04548467614933036
XGBRegressor,99.54,0.9903773045634267,0.008176315521909906,0.09042298116026648,0.004572981568912014
CatBoostRegressor,98.78,0.9490138349925695,0.04332247394721278,0.2081405149105113,0.012242992341108587
