Model_Name,Model_accuray,Model_r2_score,Model_mse,Model_rmse,Model_mape
LinearRigression,97.08,0.7809804082276082,0.18407272418092896,0.42903697297660603,0.029162021832586513
Ridge,97.08,0.7809761014459129,0.18407634377054047,0.42904119122823214,0.029182656211848797
Lasso,93.22,0.2721563985466946,0.6117085390077711,0.7821179827927313,0.06784582297416887
SVR,95.74,0.36054337488694843,0.5374246295848485,0.73309251093218,0.04262736833588566
DecisionTreeRegressor,99.98,0.9974087339724924,0.0021778024189566974,0.04666693067855114,0.00024193395969604662
RandomForestRegressor,99.24,0.9747262318291235,0.021241074005676753,0.1457431782474801,0.007629716546640834
AdaBoostRegressor,96.48,0.7989626910635825,0.16895970273009175,0.41104708091664116,0.03523144503420252
XGBRegressor,99.66,0.9947013002811419,0.004453236735463059,0.06673257626873894,0.003427060687303808
CatBoostRegressor,98.92,0.9588982541633879,0.03454353221788362,0.1858589040586531,0.010767865251963361
